timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence,lat,lon,dist_m,spd_ms,altitude,dt_s,d_m,moving,elev_smooth,day_local
2025-09-23T00:36:57Z,28.78453876823187,83.96638993173838,125161.28,0,4899.4,113,0,0,28.78453876823187,83.96638993173838,125161.28,0,4899.4,4,1.139999999999418,FALSE,4899.4,2025-09-23
2025-09-23T00:36:58Z,28.78454036079347,83.96638900972903,125161.28,0,4899.6,113,0,0,28.78454036079347,83.96638900972903,125161.28,0,4899.6,1,0,FALSE,4899.4,2025-09-23
2025-09-23T00:37:04Z,28.78454036079347,83.96638900972903,125161.28,0,4900,116,0,0,28.78454036079347,83.96638900972903,125161.28,0,4900,6,0,FALSE,4899.6,2025-09-23
2025-09-23T00:37:08Z,28.78454036079347,83.96638900972903,125161.28,0,4899.4,116,0,0,28.78454036079347,83.96638900972903,125161.28,0,4899.4,4,0,FALSE,4899.8,2025-09-23
2025-09-23T00:37:12Z,28.7845441326499,83.96636445075274,125164.23,0,4899.8,113,0,0,28.7845441326499,83.96636445075274,125164.23,0,4899.8,4,2.9499999999970896,FALSE,4900,2025-09-23
2025-09-23T00:37:15Z,28.784551760181785,83.96635573357344,125165.02,0,4900.2,110,0,0,28.784551760181785,83.96635573357344,125165.02,0,4900.2,3,0.7900000000081491,FALSE,4900.2,2025-09-23
2025-09-23T00:37:16Z,28.78455745987594,83.96634886041284,125166.23,0,4900.4,110,0,0,28.78455745987594,83.96634886041284,125166.23,0,4900.4,1,1.209999999991851,FALSE,4900.4,2025-09-23
2025-09-23T00:37:19Z,28.784561650827527,83.96633972413838,125166.84,0,4900.8,109,0,0,28.784561650827527,83.96633972413838,125166.84,0,4900.8,3,0.6100000000005821,FALSE,4900.8,2025-09-23
2025-09-23T00:37:22Z,28.784573217853904,83.96632421761751,125168.71,0,4901.2,110,0,0,28.784573217853904,83.96632421761751,125168.71,0,4901.2,3,1.8700000000098953,FALSE,4901.2,2025-09-23
2025-09-23T00:37:25Z,28.784579252824187,83.96631021983922,125170.32,0,4901.8,110,59,0,28.784579252824187,83.96631021983922,125170.32,0,4901.8,3,1.610000000000582,TRUE,4901.8,2025-09-23
2025-09-23T00:37:28Z,28.78458126448095,83.96629395894706,125171.87,0.681,4902,111,0,0,28.78458126448095,83.96629395894706,125171.87,0.681,4902,3,1.5499999999883585,TRUE,4902,2025-09-23
2025-09-23T00:37:33Z,28.784589897841215,83.96626847796142,125174.78,0,4902.8,111,0,0,28.784589897841215,83.96626847796142,125174.78,0,4902.8,5,2.9100000000034925,FALSE,4902.8,2025-09-23
2025-09-23T00:37:34Z,28.784590736031532,83.96626696921885,125174.78,0,4902.8,111,0,0,28.784590736031532,83.96626696921885,125174.78,0,4902.8,1,0,FALSE,4902.8,2025-09-23
